year,Home,Ind,Buss,Other,Total
1998/12/31,31.44460229,64.0713383,21.49284779,11.1210127,128.1298011
1999/12/31,30.86368361,66.88095307,22.18373958,11.79751543,131.7258917
2000/12/31,32.68599413,72.74413884,23.8254972,13.15725689,142.4128871
2001/12/31,33.64451291,71.6930057,24.43507073,13.85099033,143.6235797
2002/12/31,35.03267874,75.91837896,25.79163017,14.44990212,151.19259
2003/12/31,36.85473063,80.04831147,27.08387843,15.39293493,159.3798555
2004/12/31,37.17120118,85.93445669,28.27859976,16.09351275,167.4777704
2005/12/31,39.75798252,88.7406074,30.20856889,16.58621169,175.2933705
2006/12/31,39.8171085,93.70317227,31.65851052,16.41451233,181.5933036
2007/12/31,40.40892953,97.79264448,31.97508209,16.89801591,187.074672
2008/12/31,39.95490978,98.52596118,31.56005379,16.89055206,186.9314768
2009/12/31,40.3592622,91.69845642,30.31819473,16.8627598,179.2386732
2010/12/31,40.68044077,103.9888067,31.44736905,17.19683431,193.3134508
2011/12/31,41.65045401,107.940675,31.67708973,17.3688818,198.6371005
2012/12/31,40.462296,108.9803625,31.62478293,17.3234559,198.3908973
2013/12/31,40.88052275,112.0357385,31.52474042,17.50387432,201.944876
2014/12/31,42.50597081,113.9388266,32.06409451,17.44706302,205.9559549
2015/12/31,42.1966461,114.2418916,32.51095926,17.54176895,206.4912659
2016/12/31,44.58296938,117.0258929,33.20796674,17.7144409,212.5312699